MSI B360M 박격포,MSI,인텔(소켓1151v2),(인텔) B360,3,7,4,64,PCIe3.0 x16,4,4,2,1,4,NA,2,XMP / 옵테인 / 7.1ch / 그래픽 출력: DVI HDMI DP / 기가비트 LAN / UEFI / VR Ready / LED 라이트 / LED 헤더 / MYSTIC LIGHT,100900
ASRock B450M PRO4 에즈윈,ASRock,AMD(소켓AM4),(AMD) B450,4,9,4,64,PCIe3.0 x16,3,4,2,1,2,4,2,멀티 GPU: CrossFire X / 7.1ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / AMD APU 지원 / LED 헤더,91900
ASUS TUF Z390-PLUS GAMING iBORA,ASUS,인텔(소켓1151v2),(인텔) Z390,4,NA,4,64,PCIe3.0 x16,6,6,2,2,NA,4,2,XMP / 옵테인 / 멀티 GPU: CrossFire X / 8ch / 그래픽 출력: HDMI DP / 기가비트 LAN / LED 라이트 / LED 헤더 / AURA SYNC,213530
GIGABYTE B360M DS3H 듀러블에디션 피씨디렉트,GIGABYTE,인텔(소켓1151v2),(인텔) B360,5,6,4,64,PCIe3.0 x16,3,6,1,1,2,4,NA,XMP / 옵테인 / 8ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI / VR Ready / LED 라이트 / LED 헤더 / RGB FUSION,81800
ASUS PRIME B450M-A STCOM,ASUS,AMD(소켓AM4),(AMD) B450,4,6,4,64,PCIe3.0 x16,3,6,1,2,NA,4,2,8ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI / VR Ready / AMD APU 지원 / LED 라이트 / LED 헤더,101300
ASRock B360M PRO4 에즈윈,ASRock,인텔(소켓1151v2),(인텔) B360,4,10,4,64,PCIe3.0 x16,4,6,3,2,2,2,2,XMP / 옵테인 / 멀티 GPU: CrossFire X / 7.1ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,87700
BIOSTAR A320MH 이엠텍,BIOSTAR,AMD(소켓AM4),(AMD) A320,4,5,4,32,PCIe3.0 x16,3,4,NA,1,4,2,NA,7.1ch / 그래픽 출력: D-SUB HDMI / 기가비트 LAN / AMD APU 지원,49300
ASUS PRIME X470-PRO STCOM,ASUS,AMD(소켓AM4),(AMD) X470,4,10,4,64,PCIe3.0 x16,6,6,2,1,NA,6,2,멀티 GPU: CrossFire X SLI / 8ch / 그래픽 출력: HDMI DP / 기가비트 LAN / UEFI / VR Ready / AMD APU 지원 / LED 라이트 / LED 헤더 / AURA SYNC,213200
ASRock Z390 EXTREME 4 에즈윈,ASRock,인텔(소켓1151v2),(인텔) Z390,4,12,4,64,PCIe3.0 x16,6,8,2,1,NA,4,2,XMP / 옵테인 / 멀티 GPU: CrossFire X SLI / 7.1ch / 그래픽 출력: D-SUB HDMI DP / 기가비트 LAN / UEFI / LED 라이트 / LED 헤더,208500
ASRock B450M-HDV R4.0 에즈윈,ASRock,AMD(소켓AM4),(AMD) B450,1,6,4,32,PCIe3.0 x16,2,4,1,1,2,4,NA,7.1ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,81000
MSI H310M PRO-VD PLUS,MSI,인텔(소켓1151v2),(인텔) H310,5,7,4,32,PCIe3.0 x16,3,4,NA,1,4,2,NA,XMP / 7.1ch / 그래픽 출력: D-SUB DVI / 기가비트 LAN / UEFI,67000
ASUS PRIME A320M-K iBORA,ASUS,AMD(소켓AM4),(AMD) A320,1,6,4,32,NA,3,4,1,2,2,4,NA,8ch / 그래픽 출력: D-SUB HDMI / 기가비트 LAN / UEFI,64600
MSI B450M 박격포,MSI,AMD(소켓AM4),(AMD) B450,4,7,4,64,PCIe3.0 x16,4,4,2,1,2,4,2,멀티 GPU: CrossFire / 7.1ch / 그래픽 출력: HDMI DP / 기가비트 LAN / AMD APU 지원 / LED 라이트 / LED 헤더 / MYSTIC LIGHT,137800
MSI B360M 바주카 플러스,MSI,인텔(소켓1151v2),(인텔) B360,3,7,4,64,PCIe3.0 x16,4,4,1,1,4,NA,2,XMP / 옵테인 / 7.1ch / 그래픽 출력: DVI HDMI DP / 기가비트 LAN / UEFI / VR Ready / MYSTIC LIGHT,87500
GIGABYTE GA-A320M-S2H 듀러블에디션 제이씨현,GIGABYTE,AMD(소켓AM4),(AMD) A320,5,6,4,32,PCIe3.0 x16,3,4,1,2,2,4,NA,XMP / 6ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI / VR Ready,61600
ASRock X370M PRO4 에즈윈,ASRock,AMD(소켓AM4),(AMD) X370,4,9,4,64,PCIe3.0 x16,3,4,2,2,2,5,NA,멀티 GPU: CrossFire X / 7.1ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / AMD APU 지원 / LED 헤더,83400
GIGABYTE B450M DS3H 듀러블에디션 피씨디렉트,GIGABYTE,AMD(소켓AM4),(AMD) B450,5,7,4,64,PCIe3.0 x16,3,4,1,1,4,4,NA,멀티 GPU: CrossFire / 6ch / 그래픽 출력: DVI HDMI / 기가비트 LAN / UEFI / AMD APU 지원 / LED 헤더 / RGB FUSION,92400
ASRock H310CM-HDV Plus 에즈윈,ASRock,인텔(소켓1151v2),(인텔) H310,8,4,4,32,PCIe3.0 x16,3,4,NA,1,4,2,NA,XMP / 7.1ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,72000
MSI A320M PRO-VH PLUS,MSI,AMD(소켓AM4),(AMD) A320,6,7,4,32,PCIe3.0 x16,3,4,NA,1,2,4,NA,8ch / 그래픽 출력: D-SUB HDMI / 기가비트 LAN / UEFI / VR Ready / AMD APU 지원,62500
MSI B450 토마호크,MSI,AMD(소켓AM4),(AMD) B450,4,7,4,64,PCIe3.0 x16,3,6,1,1,2,2,2,멀티 GPU: CrossFire / 7.1ch / 그래픽 출력: DVI HDMI / 기가비트 LAN / AMD APU 지원 / LED 라이트 / LED 헤더 / MYSTIC LIGHT,129000
ASUS PRIME Z390-A STCOM,ASUS,인텔(소켓1151v2),(인텔) Z390,4,NA,4,64,PCIe3.0 x16,6,6,2,1,2,2,4,XMP / 옵테인 / 멀티 GPU: CrossFire X SLI / 8ch / 그래픽 출력: HDMI DP / 기가비트 LAN / UEFI / LED 라이트 / AURA SYNC,247800
MSI X470 게이밍 플러스,MSI,AMD(소켓AM4),(AMD) X470,4,NA,4,64,PCIe3.0 x16,6,6,2,1,2,4,2,멀티 GPU: CrossFire / 7.1ch / 그래픽 출력: DVI HDMI / 기가비트 LAN / UEFI / VR Ready / AMD APU 지원 / LED 라이트 / LED 헤더 / MYSTIC LIGHT,161800
GIGABYTE Z390 AORUS ELITE 피씨디렉트,GIGABYTE,인텔(소켓1151v2),(인텔) Z390,4,1,4,64,PCIe3.0 x16,6,6,2,2,4,4,2,XMP / 옵테인 / 멀티 GPU: CrossFire / 7.1ch / 그래픽 출력: HDMI / 기가비트 LAN / UEFI / LED 라이트 / LED 헤더 / RGB FUSION,219700
MSI MPG Z390 게이밍 엣지 AC,MSI,인텔(소켓1151v2),(인텔) Z390,3,12,4,64,PCIe3.0 x16,6,6,2,1,2,2,2,XMP / 옵테인 / 멀티 GPU: CrossFire SLI / 7.1ch / 그래픽 출력: HDMI DP / 기가비트 LAN / 무선 LAN / 블루투스 / UEFI / LED 라이트 / MYSTIC LIGHT,222900
GIGABYTE B450 AORUS ELITE 제이씨현,GIGABYTE,AMD(소켓AM4),(AMD) B450,5,7,4,64,PCIe3.0 x16,4,6,2,1,4,4,NA,멀티 GPU: CrossFire / 8ch / 그래픽 출력: DVI HDMI / 기가비트 LAN / UEFI / VR Ready / AMD APU 지원 / LED 라이트 / LED 헤더 / RGB FUSION,123000
ASRock Z390 PRO4 에즈윈,ASRock,인텔(소켓1151v2),(인텔) Z390,4,10,4,64,PCIe3.0 x16,5,6,2,1,2,1,2,XMP / 옵테인 / 멀티 GPU: CrossFire X / 7.1ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,163400
ASRock Z390 Phantom Gaming-ITX/ac 에즈윈,ASRock,인텔(소켓1151v2),(인텔) Z390,0,7,4,32,PCIe3.0 x16,1,4,2,1,NA,2,5,XMP / 옵테인 / 7.1ch / 그래픽 출력: HDMI DP / 기가비트 LAN / 무선 LAN / UEFI / LED 헤더,284000
ASUS ROG MAXIMUS XI HERO STCOM,ASUS,인텔(소켓1151v2),(인텔) Z390,4,NA,4,64,PCIe3.0 x16,6,6,2,1,2,NA,4,XMP / 옵테인 / 멀티 GPU: CrossFire X SLI / 8ch / 그래픽 출력: HDMI DP / 기가비트 LAN / UEFI / LED 라이트 / LED 헤더 / AURA SYNC,406900
MSI B450M 박격포 티타늄,MSI,AMD(소켓AM4),(AMD) B450,4,NA,4,64,PCIe3.0 x16,4,4,2,1,2,4,2,멀티 GPU: CrossFire / 7.1ch / 그래픽 출력: HDMI DP / 기가비트 LAN / AMD APU 지원 / LED 라이트 / LED 헤더 / MYSTIC LIGHT,138000
ASRock Z390 TAICHI 에즈윈,ASRock,인텔(소켓1151v2),(인텔) Z390,4,12,4,64,PCIe3.0 x16,5,8,3,1,NA,4,4,XMP / 옵테인 / 멀티 GPU: CrossFire X SLI / 7.1ch / 그래픽 출력: HDMI DP / 기가비트 LAN / 무선 LAN / UEFI / LED 라이트 / LED 헤더,315100
ASRock A320M-HDV R3.0 에즈윈,ASRock,AMD(소켓AM4),(AMD) A320,1,6,4,32,PCIe3.0 x16,2,4,1,1,2,4,NA,7.1ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN / UEFI,63000
BIOSTAR B360MHD PRO 이엠텍,BIOSTAR,인텔(소켓1151v2),(인텔) B360,7,5,4,32,PCIe3.0 x16,3,4,NA,2,2,4,NA,7.1ch / 그래픽 출력: D-SUB DVI HDMI / 기가비트 LAN,68600
ASUS PRIME B360M-K iBORA,ASUS,인텔(소켓1151v2),(인텔) B360,5,5,4,32,PCIe3.0 x16,3,6,1,2,2,2,2,XMP / 8ch / 그래픽 출력: D-SUB DVI / 기가비트 LAN / UEFI / VR Ready,86950
