name,manufacturer,type,prod_name,nm,clock,b_clock,sp,PCIe,gddr,memory_c,memory_v,memory_b,etc,price
갤럭시 GALAX 지포스 GTX1060 OC D5X 6GB,갤럭시,vga,GTX1060,16,1518,1733,1280,3.0x16,5,8008,6,192,DVI / HDMI / DP / 최대 모니터 3개 / 최대 120W / 정격파워 400W 이상 / 전원부: 4+1페이즈 / 2개 팬 / 214mm,302400
GAINWARD 지포스 GTX1070 Ti 피닉스 D5 8GB 디앤디컴,GAINWARD,vga,GTX1070Ti,16,1607,1683,2432,3.0x16,5,8000,8,256,DVI / HDMI / DP / 최대 모니터 4개 / 최대 150W / 정격파워 500W 이상 / 2개 팬 / 285mm / 백플레이트 / LED 라이트,554200
ZOTAC GAMING 지포스 RTX 2080 Ti D6 11GB BLOWER,ZOTAC,vga,RTX2080Ti,12,NA,1545,4352,3.0x16,6,14000,11,352,HDMI / DP / USB Type-C / 최대 250W / 정격파워 650W 이상 / 1개 팬 / 268mm / 백플레이트,1642300
ZOTAC GAMING AMP 지포스 RTX 2080 Ti D6 11GB,ZOTAC,vga,RTX2080Ti,12,1665,NA,4352,3.0x16,6,14000,11,352,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 260W / 정격파워 650W / 3개 팬 / 308mm / LED 라이트 / SPECTRA,1910990
EVGA 지포스 RTX 2080 Ti XC ULTRA GAMING D6 11GB,EVGA,vga,RTX2080Ti,12,1350,1650,4352,3.0x16,6,14000,11,352,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 250W / 정격파워 650W / 전원부: 16페이즈 / 2개 팬 / 269.2mm / 백플레이트 / LED 라이트,1727000
갤럭시 GALAX 지포스 RTX 2080 Ti Hall Of Fame D6 11GB,갤럭시,vga,RTX2080Ti,12,4352,NA,NA,3.0x16,6,NA,11,352,3개 팬,1826500
MANLI 지포스 RTX 2080 Ti Gallardo Ultimate D6 11GB,MANLI,vga,RTX2080Ti,12,1350,1635,4352,3.0x16,6,14000,11,352,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 250W / 정격파워 700W 이상 / 3개 팬 / 314mm / 백플레이트 / LED 라이트,1496600
GIGABYTE 지포스 GT710 UD2 D3 1GB 팬리스,GIGABYTE,vga,GT710,28,954,NA,192,2.0x8,3,1600,1,64,DVI / HDMI / 최대 모니터 2개 / 정격파워 300W 이상 / 1개 팬 / 150mm,44000
MSI 지포스 GTX1060 아머 VR OC D5 6GB,MSI,vga,GTX1060,16,1544,1759,1280,3.0x16,5,8008,6,192,DVI / HDMI / DP / 최대 모니터 4개 / 최대 120W / 정격파워 400W 이상 / 전원부: 5페이즈 / 2개 팬 / 275mm,335000
GIGABYTE AORUS Xtreme 지포스 RTX 2080 D6 8GB,GIGABYTE,vga,RTX2080,12,NA,1890,2944,3.0x16,6,14140,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 정격파워 650W / 전원부: 12+2페이즈 / 3개 팬 / 290mm / 백플레이트 / LED 라이트 / RGB FUSION,1131700
이엠텍 XENON 지포스 GTX1060 Super JETSTREAM D5 6GB,이엠텍,vga,GTX1060,16,1620,1848,1280,3.0x16,5,8000,6,192,DVI / HDMI / DP / 최대 모니터 4개 / 최대 120W / 정격파워 400W 이상 / 전원부: 4페이즈 / 2개 팬 / 250mm / 백플레이트 / LED 라이트 / RGB LIGHTING,363100
MSI 지포스 RTX 2070 게이밍 D6 8GB 트윈프로져7,MSI,vga,RTX2070,12,1410,1620,2304,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 175W / 정격파워 550W 이상 / 2개 팬 / 307mm / 백플레이트 / LED 라이트 / MYSTIC LIGHT,685000
갤럭시 지포스 GTX760 Gamer GC D5 2GB,갤럭시,vga,GTX760,28,1019,1084,1152,3.0x16,5,6008,2,256,DVI / HDMI / DP / 최대 모니터 4개 / 최대 170W / 정격파워 500W 이상 / 2개 팬 / 173mm,41360
ASRock Phantom Gaming X 라데온 RX 580 OC D5 8GB 에즈윈,ASRock,vga,RX580,14,1380,1435,2304,3.0x16,5,8000,8,256,DVI / HDMI / DP / 최대 모니터 5개 / 전원부: 6페이즈 / 2개 팬 / 278.8mm,243200
MSI 지포스 RTX 2080 시호크 X D6 8GB,MSI,vga,RTX2080,12,1515,1860,2944,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 245W / 정격파워 650W / 전원부: 10페이즈 / 1개 팬 / 268mm / 백플레이트 / 수냉 장착 지원 / LED 라이트,1122200
리드텍 WinFast 지포스 RTX 2080 HURRICANE D6 8GB,리드텍,vga,RTX2080,12,1515,1800,2944,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 225W / 정격파워 650W 이상 / 전원부: 10페이즈 / 3개 팬 / 303mm / 백플레이트 / LED 라이트,954600
ZOTAC AMP 지포스 GTX1060 D5 6GB 백플레이트,ZOTAC,vga,GTX1060,16,1556,1771,1280,3.0x16,5,8000,6,192,DVI / HDMI / DP / 최대 120W / 정격파워 400W 이상 / 전원부: 5페이즈 / 2개 팬 / 210mm,311000
갤럭시 GALAX 지포스 GTX1060 개간지 EXOC D5 6GB,갤럭시,vga,GTX1060,16,1620,1847,1280,3.0x16,5,8008,6,192,DVI / HDMI / DP / 최대 모니터 4개 / 최대 120W / 정격파워 400W 이상 / 전원부: 5페이즈 / 2개 팬 / 237mm,330200
PALIT 지포스 GTX1050 Ti STORM X D5 4GB,PALIT,vga,GTX1050Ti,14,1290,1392,768,3.0x16,5,7000,4,128,DVI / HDMI / DP / 최대 모니터 3개 / 최대 75W / 정격파워 300W 이상 / 전원부: 2페이즈 / 1개 팬 / 166mm,161300
GIGABYTE 지포스 GTX1060 UDV D5 3GB 윈드포스,GIGABYTE,vga,GTX1060,16,1556,1771,1152,3.0x16,5,8008,3,192,DVI / HDMI / DP / 최대 모니터 4개 / 최대 147W / 정격파워 400W 이상 / 전원부: 5페이즈 / 2개 팬 / 223mm,254600
